gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group D,bachelor's degree,standard,none,77,72,76
male,group C,some high school,standard,none,71,67,53
female,group D,associate's degree,free/reduced,none,44,52,58
female,group E,bachelor's degree,standard,none,95,100,97
female,group B,some college,standard,none,70,80,79
female,group E,some high school,standard,completed,75,78,80
female,group E,some college,standard,none,77,68,65
male,group B,high school,standard,none,74,69,63
female,group D,associate's degree,free/reduced,completed,59,83,73
male,group C,high school,standard,none,63,60,58
female,group D,some college,standard,none,56,66,65
female,group A,high school,standard,completed,64,83,85
male,group B,some college,standard,completed,52,47,55
female,group C,high school,standard,none,51,57,58
male,group E,master's degree,free/reduced,completed,92,80,85
male,group E,high school,free/reduced,none,47,50,41
male,group B,master's degree,standard,none,81,67,67
male,group E,associate's degree,standard,completed,91,88,87
female,group C,some high school,free/reduced,none,45,58,57
male,group C,high school,standard,none,76,79,70
