gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,associate's degree,standard,completed,86,83,77
male,group A,some college,standard,none,77,69,65
female,group B,associate's degree,standard,none,85,98,92
female,group B,associate's degree,free/reduced,none,44,56,51
male,group E,bachelor's degree,free/reduced,none,49,48,46
female,group E,high school,standard,completed,100,100,100
female,group D,some college,free/reduced,none,41,50,44
female,group D,high school,free/reduced,none,69,92,91
female,group C,some college,standard,completed,45,56,65
male,group C,high school,free/reduced,none,56,50,51
male,group B,associate's degree,free/reduced,none,68,72,73
male,group B,some college,standard,none,44,37,35
female,group A,some high school,free/reduced,none,37,59,45
male,group E,some college,standard,none,95,85,81
male,group D,associate's degree,free/reduced,none,53,47,50
male,group B,high school,free/reduced,completed,57,67,60
female,group D,some college,free/reduced,completed,76,84,85
male,group C,high school,free/reduced,none,58,50,48
male,group D,some college,standard,none,70,63,64
female,group E,some college,free/reduced,completed,63,72,73
