gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group D,high school,free/reduced,completed,72,80,83
female,group E,bachelor's degree,standard,none,89,82,82
female,group C,some college,free/reduced,none,54,65,61
female,group E,some college,free/reduced,none,60,75,71
male,group C,some high school,standard,completed,46,53,46
female,group C,high school,standard,completed,60,70,67
female,group B,master's degree,free/reduced,none,84,84,87
female,group B,master's degree,free/reduced,none,59,81,69
female,group E,some college,free/reduced,none,84,82,78
female,group D,some college,standard,none,91,99,98
female,group A,some college,standard,none,71,67,70
male,group D,some high school,standard,completed,42,39,42
male,group C,high school,standard,completed,88,90,93
female,group D,some college,free/reduced,completed,71,90,92
male,group C,high school,standard,none,92,85,80
female,group B,some college,standard,none,74,83,83
male,group B,associate's degree,standard,completed,84,70,80
female,group E,some high school,standard,none,66,74,72
male,group B,bachelor's degree,free/reduced,none,59,58,62
female,group D,high school,free/reduced,none,44,45,49
