gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group E,associate's degree,free/reduced,none,55,67,63
male,group D,high school,standard,none,78,69,70
female,group D,high school,standard,none,68,72,78
male,group C,some high school,free/reduced,completed,46,54,45
male,group B,high school,standard,none,66,55,52
male,group B,some college,free/reduced,none,25,27,20
female,group D,some college,free/reduced,none,67,81,87
female,group A,some college,standard,none,90,85,84
male,group E,master's degree,standard,none,93,87,83
male,group A,some college,standard,none,77,69,65
male,group D,some high school,standard,none,86,80,77
male,group D,some college,standard,none,66,66,64
female,group C,high school,standard,none,73,93,89
male,group B,bachelor's degree,free/reduced,completed,80,78,81
female,group D,some high school,free/reduced,none,46,67,66
male,group B,master's degree,standard,none,95,85,88
male,group C,master's degree,standard,none,85,82,78
female,group A,some high school,standard,completed,79,90,90
female,group D,some high school,free/reduced,none,41,46,54
male,group D,bachelor's degree,standard,none,76,72,79
