gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,bachelor's degree,free/reduced,none,73,69,74
male,group B,some college,free/reduced,none,25,27,20
male,group B,some high school,standard,none,68,73,63
male,group C,high school,standard,completed,60,58,56
male,group C,high school,free/reduced,completed,64,67,66
male,group C,associate's degree,standard,completed,89,85,84
female,group D,some high school,standard,none,65,69,65
male,group C,some college,free/reduced,completed,46,52,51
female,group E,some high school,free/reduced,completed,63,77,73
female,group C,some college,standard,none,64,60,67
male,group B,associate's degree,standard,none,43,30,29
male,group D,associate's degree,free/reduced,none,53,47,50
male,group C,some college,standard,completed,67,69,65
female,group D,some college,free/reduced,none,67,81,87
female,group A,some college,standard,none,78,84,75
female,group C,some college,standard,completed,62,72,80
female,group D,high school,standard,none,73,76,73
male,group A,some high school,standard,none,53,48,43
female,group C,high school,standard,completed,71,88,92
female,group C,high school,standard,none,68,70,67
