gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,master's degree,free/reduced,none,47,64,59
male,group E,high school,free/reduced,none,61,51,47
male,group D,master's degree,free/reduced,none,70,69,68
male,group C,bachelor's degree,free/reduced,none,71,64,63
female,group D,some high school,free/reduced,completed,76,83,80
female,group C,high school,free/reduced,completed,50,66,66
female,group A,some college,free/reduced,completed,56,72,71
male,group B,high school,standard,completed,74,68,67
female,group A,some college,standard,none,95,92,91
female,group D,some high school,free/reduced,completed,52,66,74
male,group C,associate's degree,free/reduced,completed,66,63,64
male,group C,some college,free/reduced,completed,63,54,58
male,group C,bachelor's degree,standard,completed,74,82,80
male,group B,high school,free/reduced,none,47,36,34
male,group B,some high school,standard,none,82,80,81
female,group B,some college,standard,none,51,46,46
male,group C,master's degree,standard,completed,65,65,68
male,group B,associate's degree,standard,none,43,30,29
female,group E,high school,standard,completed,89,100,97
female,group C,some high school,standard,none,71,82,78
