gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group D,some college,standard,none,84,82,82
male,group C,some high school,standard,none,74,76,70
male,group B,bachelor's degree,standard,completed,66,72,70
male,group C,high school,standard,completed,52,57,56
male,group C,high school,standard,completed,81,77,77
male,group A,associate's degree,free/reduced,none,66,63,62
female,group B,high school,standard,completed,62,67,75
male,group E,associate's degree,standard,none,88,76,67
female,group B,bachelor's degree,free/reduced,none,65,76,74
male,group D,bachelor's degree,free/reduced,none,51,42,42
male,group B,some college,standard,none,86,90,82
female,group B,master's degree,free/reduced,completed,63,82,83
male,group C,bachelor's degree,standard,completed,67,65,60
male,group D,some high school,standard,none,68,60,54
female,group D,some high school,standard,completed,80,97,98
female,group C,master's degree,standard,none,88,100,100
female,group C,associate's degree,free/reduced,none,42,59,55
male,group C,some high school,standard,none,43,42,39
female,group D,some college,standard,completed,67,70,74
male,group D,high school,standard,none,89,85,79
