gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,master's degree,standard,completed,96,100,100
female,group E,some high school,free/reduced,none,58,57,53
male,group D,associate's degree,standard,none,92,87,88
male,group E,some high school,standard,completed,97,88,86
male,group E,high school,standard,none,82,66,60
male,group A,high school,standard,completed,72,70,65
male,group B,associate's degree,standard,none,70,67,63
male,group B,high school,standard,none,55,41,41
male,group B,high school,standard,completed,85,85,85
female,group D,high school,standard,none,64,74,74
female,group E,master's degree,free/reduced,none,73,74,73
male,group D,some college,free/reduced,none,80,71,76
female,group C,some high school,free/reduced,none,44,56,53
female,group D,some high school,standard,completed,81,90,87
male,group C,bachelor's degree,standard,completed,67,65,60
male,group A,bachelor's degree,standard,none,72,57,53
male,group B,master's degree,standard,none,86,78,77
female,group E,high school,standard,none,78,78,73
female,group C,high school,standard,none,74,91,87
female,group D,high school,standard,completed,73,96,96
