gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group E,some high school,standard,none,59,63,62
male,group A,some college,standard,completed,84,90,84
female,group B,associate's degree,standard,none,62,67,68
male,group B,high school,standard,none,72,72,62
female,group A,associate's degree,standard,none,71,92,87
male,group B,some college,free/reduced,completed,64,62,60
male,group D,associate's degree,standard,none,75,81,77
female,group C,some high school,standard,none,67,77,78
female,group B,some high school,free/reduced,none,48,66,62
female,group C,high school,standard,completed,81,81,89
male,group B,bachelor's degree,standard,none,65,62,59
female,group D,associate's degree,free/reduced,none,56,65,65
female,group C,some college,free/reduced,completed,51,71,67
male,group D,bachelor's degree,free/reduced,completed,76,71,77
male,group E,high school,free/reduced,completed,68,54,56
male,group C,some college,standard,none,66,64,61
female,group D,high school,standard,completed,68,74,79
male,group B,associate's degree,standard,none,70,67,63
female,group B,some college,standard,completed,84,98,100
male,group D,bachelor's degree,free/reduced,completed,94,89,89
