gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,some college,standard,none,92,85,87
male,group C,high school,free/reduced,completed,46,51,45
male,group D,high school,standard,none,49,42,40
female,group C,master's degree,standard,none,78,78,88
female,group C,associate's degree,free/reduced,none,60,69,72
male,group E,high school,standard,none,82,66,60
male,group A,high school,standard,completed,72,70,65
female,group B,associate's degree,standard,none,71,84,79
male,group C,some college,standard,none,76,63,61
female,group C,master's degree,standard,none,93,91,92
female,group D,some college,standard,none,65,63,70
male,group E,associate's degree,free/reduced,none,59,49,49
male,group E,master's degree,standard,none,78,72,65
male,group B,some college,standard,completed,52,47,55
female,group D,some high school,free/reduced,none,50,51,52
male,group C,bachelor's degree,standard,none,78,67,71
female,group B,associate's degree,standard,none,51,55,55
female,group D,associate's degree,free/reduced,completed,74,87,87
female,group C,some college,standard,none,74,79,76
male,group B,high school,free/reduced,completed,46,47,49
