gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,high school,standard,completed,45,58,59
male,group B,high school,free/reduced,completed,75,82,80
male,group C,high school,standard,none,82,78,73
male,group D,bachelor's degree,free/reduced,completed,94,89,89
female,group C,bachelor's degree,standard,none,59,64,64
female,group B,some high school,free/reduced,none,53,64,63
female,group C,bachelor's degree,standard,none,57,56,60
female,group E,bachelor's degree,standard,none,77,91,83
male,group C,some college,standard,none,85,84,79
female,group A,some college,standard,none,71,86,80
female,group D,associate's degree,standard,completed,55,62,68
female,group C,associate's degree,standard,none,50,59,52
female,group B,bachelor's degree,free/reduced,none,64,74,72
male,group D,some college,standard,none,55,51,46
male,group C,some high school,standard,none,59,56,54
male,group B,some college,standard,completed,52,47,55
female,group D,master's degree,free/reduced,none,67,75,82
male,group D,some college,standard,none,66,66,64
female,group B,master's degree,standard,none,81,97,89
female,group B,high school,standard,completed,65,85,84
