gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,some college,free/reduced,none,31,48,44
female,group B,some college,free/reduced,none,53,57,59
male,group B,master's degree,standard,none,45,39,39
female,group D,some high school,standard,none,57,59,62
male,group E,associate's degree,standard,completed,85,81,80
male,group B,some college,standard,completed,52,47,55
female,group C,some high school,standard,none,71,82,78
female,group B,high school,standard,none,55,71,68
female,group C,some college,standard,completed,45,56,65
female,group A,master's degree,free/reduced,completed,72,81,87
female,group B,some college,standard,completed,54,59,59
female,group C,some college,standard,none,62,81,69
male,group C,high school,free/reduced,none,65,62,57
male,group E,associate's degree,free/reduced,completed,100,91,91
female,group C,some high school,free/reduced,none,41,57,51
male,group D,master's degree,free/reduced,none,72,72,69
female,group D,associate's degree,free/reduced,none,44,52,58
male,group B,high school,standard,none,72,72,62
female,group B,high school,standard,completed,65,85,84
female,group C,bachelor's degree,free/reduced,none,80,87,85
