gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group D,some high school,free/reduced,none,41,45,38
male,group C,associate's degree,standard,none,66,68,64
female,group D,associate's degree,free/reduced,completed,74,87,87
male,group C,high school,standard,none,63,72,65
female,group B,some college,standard,none,82,87,86
male,group C,master's degree,standard,completed,65,65,68
female,group A,master's degree,standard,none,66,73,78
female,group C,master's degree,free/reduced,none,53,58,55
female,group D,some high school,standard,none,78,78,83
female,group E,some high school,free/reduced,completed,63,63,63
male,group D,some college,standard,completed,71,71,68
female,group C,some college,standard,none,89,90,91
female,group B,high school,standard,none,59,65,68
male,group E,some college,standard,none,67,66,64
female,group E,some college,standard,none,62,66,61
male,group C,bachelor's degree,standard,none,78,67,71
female,group D,some high school,free/reduced,none,46,67,66
female,group C,some college,free/reduced,completed,44,63,62
female,group A,some college,standard,completed,76,84,81
male,group B,bachelor's degree,standard,none,67,66,60
