gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group A,associate's degree,standard,completed,56,41,42
female,group D,some college,standard,completed,52,57,63
female,group A,some college,standard,none,55,61,63
female,group B,high school,standard,completed,62,73,77
male,group E,bachelor's degree,standard,completed,81,88,84
female,group D,some college,standard,completed,67,70,74
female,group E,some high school,standard,none,68,74,70
male,group C,master's degree,standard,none,96,92,92
female,group B,some college,free/reduced,none,55,58,63
female,group C,associate's degree,standard,none,74,74,76
male,group B,bachelor's degree,free/reduced,none,31,28,30
female,group C,high school,standard,none,57,58,60
male,group B,high school,standard,none,76,65,64
female,group D,some high school,standard,completed,53,64,67
male,group D,associate's degree,free/reduced,none,60,63,51
male,group D,some high school,free/reduced,none,49,47,41
female,group D,some college,standard,none,77,77,78
female,group E,bachelor's degree,standard,none,77,91,83
male,group D,associate's degree,free/reduced,completed,88,90,86
female,group E,high school,standard,none,90,82,83
