gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,master's degree,standard,none,88,100,100
male,group D,high school,standard,none,74,74,70
male,group C,some college,standard,none,76,75,68
female,group D,some college,free/reduced,none,67,81,87
female,group D,some high school,free/reduced,completed,52,66,74
female,group B,bachelor's degree,free/reduced,none,54,69,68
female,group B,associate's degree,free/reduced,none,44,56,51
male,group B,high school,standard,none,66,55,52
female,group C,high school,standard,none,53,58,57
female,group E,bachelor's degree,standard,completed,100,100,100
female,group E,some high school,standard,completed,74,70,72
female,group B,associate's degree,standard,none,64,77,75
male,group E,high school,standard,none,82,66,60
female,group B,associate's degree,free/reduced,none,54,67,63
male,group A,some high school,standard,completed,68,59,64
female,group E,high school,free/reduced,none,50,59,53
male,group D,some college,free/reduced,none,43,47,40
male,group B,master's degree,standard,none,81,67,67
female,group C,some high school,standard,completed,86,92,92
female,group E,bachelor's degree,standard,none,77,91,83
