gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,master's degree,standard,none,70,59,59
male,group C,high school,free/reduced,none,58,59,54
male,group C,high school,standard,completed,62,66,62
male,group D,master's degree,standard,completed,96,82,89
female,group B,some college,standard,completed,54,59,59
male,group B,some college,standard,none,71,55,58
male,group C,master's degree,standard,none,82,89,80
male,group C,associate's degree,standard,none,56,61,56
female,group E,bachelor's degree,standard,none,100,100,100
female,group C,associate's degree,standard,none,61,76,73
female,group E,some high school,standard,none,68,74,70
female,group D,associate's degree,free/reduced,none,53,62,56
male,group E,associate's degree,standard,none,88,71,65
male,group D,some college,free/reduced,none,46,50,47
female,group D,some college,free/reduced,completed,76,84,85
female,group D,some high school,free/reduced,completed,55,83,80
female,group D,bachelor's degree,free/reduced,none,58,78,71
male,group D,high school,standard,none,92,88,83
female,group D,some high school,standard,completed,69,75,82
female,group B,master's degree,standard,completed,84,97,99
