gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,associate's degree,standard,none,65,75,79
male,group C,high school,free/reduced,none,35,34,37
male,group C,some high school,standard,none,43,42,39
male,group B,bachelor's degree,free/reduced,completed,80,78,81
female,group D,some high school,standard,completed,69,75,82
male,group C,some college,standard,none,66,73,61
male,group B,some high school,free/reduced,completed,67,72,68
male,group B,master's degree,free/reduced,none,69,70,70
male,group C,some high school,standard,none,90,90,80
female,group B,some high school,free/reduced,none,48,66,62
female,group C,master's degree,standard,none,74,95,96
male,group C,some college,free/reduced,completed,46,52,51
male,group D,some college,standard,none,70,63,64
male,group B,some college,standard,completed,75,74,68
male,group D,some college,standard,none,66,66,64
female,group D,some high school,standard,none,81,89,90
male,group B,high school,standard,none,74,77,69
female,group B,associate's degree,standard,none,51,55,55
male,group E,some high school,standard,none,77,69,70
female,group C,high school,standard,none,63,83,75
