gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group D,associate's degree,standard,completed,74,85,88
female,group A,some high school,standard,completed,43,53,52
female,group E,high school,free/reduced,none,65,69,69
male,group C,associate's degree,standard,none,94,85,80
male,group C,some high school,free/reduced,none,41,44,40
female,group B,some college,free/reduced,completed,65,81,74
male,group D,some college,standard,none,79,79,77
male,group E,some high school,standard,none,79,63,58
female,group E,high school,standard,none,60,65,60
female,group D,associate's degree,standard,completed,55,62,68
female,group D,some high school,standard,none,61,72,73
male,group B,bachelor's degree,standard,none,84,77,79
male,group C,bachelor's degree,standard,completed,74,82,80
male,group C,high school,standard,none,74,74,59
female,group B,high school,standard,completed,82,89,92
female,group D,some college,standard,none,34,54,48
female,group A,some high school,free/reduced,none,51,55,59
male,group D,bachelor's degree,free/reduced,completed,76,71,77
female,group A,some college,standard,completed,76,84,81
male,group D,some high school,free/reduced,completed,49,56,51
