gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,high school,standard,none,74,74,59
male,group D,some high school,standard,none,72,64,68
female,group B,associate's degree,free/reduced,none,44,56,51
male,group B,some college,standard,completed,60,59,59
female,group A,some high school,free/reduced,none,36,51,43
female,group E,associate's degree,standard,none,57,63,62
female,group D,high school,free/reduced,none,78,75,77
male,group C,bachelor's degree,free/reduced,none,68,55,52
male,group D,associate's degree,free/reduced,completed,88,90,86
male,group E,some college,free/reduced,none,67,74,70
male,group D,associate's degree,standard,none,83,73,68
male,group D,high school,standard,completed,93,100,97
female,group A,bachelor's degree,free/reduced,completed,57,68,73
male,group D,some high school,standard,completed,72,68,74
female,group D,some high school,free/reduced,completed,59,57,65
male,group E,some high school,standard,none,66,60,55
male,group E,some high school,free/reduced,none,59,57,44
male,group B,some college,standard,none,84,88,82
male,group C,some college,standard,completed,72,81,80
male,group B,some college,standard,completed,100,91,90
