gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group A,some college,standard,none,71,86,80
male,group B,high school,standard,none,72,72,62
male,group C,bachelor's degree,free/reduced,none,77,87,85
female,group D,some college,standard,none,65,63,70
male,group B,high school,free/reduced,completed,46,47,49
female,group B,some high school,free/reduced,none,53,64,63
male,group A,associate's degree,standard,none,53,56,51
male,group C,high school,standard,none,79,58,57
male,group C,some college,standard,none,70,64,60
female,group D,high school,standard,none,73,76,73
male,group D,some college,standard,none,56,61,56
female,group C,some college,standard,none,80,74,80
male,group B,high school,standard,none,83,77,67
female,group A,some high school,standard,none,68,76,71
male,group D,some college,standard,none,88,93,93
female,group C,high school,standard,completed,45,58,59
female,group D,some college,standard,none,45,59,55
male,group E,some high school,free/reduced,none,49,40,38
female,group B,bachelor's degree,free/reduced,none,65,76,74
male,group E,some college,free/reduced,completed,79,91,89
